date,inflationrate,feerevenue,totalsupply,circulatingsupply,riskreward,stakedtokens,realrewardrate,marketcap,price
2022-10-19,,,,,,,,941845375.1104192,7.21
2022-10-20,,,,,,,,955345569.5770038,7.34
2022-10-21,,,,,,,,963993777.1388178,7.4
2022-10-22,,,,,,,,1172262497.705197,9.03
2022-10-23,,,,,,,,1246128669.44989,9.58
2022-10-24,,,,,,,,1246799989.9779413,9.58
2022-10-25,,,,,,,,1140768646.7713194,8.78
2022-10-26,,,,,,,,1192443476.9384902,9.18
2022-10-27,,,,,,,,1134752910.0562005,8.72
2022-10-28,,,,,,,,1061889993.4607255,8.17
2022-10-29,,,,,,,,1029685433.0144224,7.93
2022-10-30,,,,,,,,1013203781.751866,7.8
2022-10-31,,,,,,,,1033834864.8246156,7.95
2022-11-01,,,,,,,,1064403094.9267448,8.19
2022-11-02,,,,,,,,957514396.0740868,7.36
2022-11-03,,,,,,,,937590398.7774038,7.23
2022-11-04,,,,,,,,997918853.4679734,7.67
2022-11-05,,,,,,,,993356708.7103492,7.64
2022-11-06,,,,,,,,945505467.0544451,7.27
2022-11-07,,,,,,,,908547320.927888,6.99
2022-11-08,,,,,,,,702383902.2935767,5.38
2022-11-09,,,,,,,,499875664.1351868,3.85
2022-11-10,,,,,,,,664487272.1013054,5.14
2022-11-11,,,,,,,,652002091.7648472,5.06
2022-11-12,,,,,,,,585738982.6485379,4.51
2022-11-13,,,,,,,,545548750.3277229,4.21
2022-11-14,,,,,,,,544996504.9916679,4.19
2022-11-15,,,,,,,,566004029.9637666,4.33
2022-11-16,,,,,,,,583997822.4728041,4.5
2022-11-17,,,,,,,,608970534.9825218,4.68
2022-11-18,,,,,,,,608973964.0577334,4.7
2022-11-19,,,,,,,,601889356.8126397,4.63
2022-11-20,,,,,,,,531110116.2871544,4.09
2022-11-21,,,,,,,,530146270.614116,4.08
2022-11-22,,,,,,,,561185387.3485185,4.32
2022-11-23,,,,,,,,579406705.270235,4.45
2022-11-24,,,,,,,,578719599.0227679,4.45
2022-11-25,,,,,,,,577347796.3826162,4.44
2022-11-26,,,,,,,,618970183.0662673,4.76
2022-11-27,,,,,,,,621288715.0470062,4.77
2022-11-28,,,,,,,,582148929.8847446,4.48
2022-11-29,,,,,,,,608588415.5121852,4.68
2022-11-30,,,,,,,,627815993.1216725,4.82
2022-12-01,,,,,,,,606062421.028358,4.66
2022-12-02,,,,,,,,641429029.0322793,4.93
2022-12-03,,,,,,,,673732226.9027714,5.16
2022-12-04,,,,,,,,680286509.6419257,5.24
2022-12-05,,,,,,,,677569794.731411,5.2
2022-12-06,,,,,,,,658714686.1473311,5.07
2022-12-07,,,,,,,,628174439.0096173,4.83
2022-12-08,,,,,,,,640184895.915265,4.93
2022-12-09,,,,,,,,626090034.3907171,4.81
2022-12-10,,,,,,,,623600862.7464752,4.8
2022-12-11,,,,,,,,608971165.6423572,4.68
2022-12-12,,,,,,,,587298362.5958484,4.52
2022-12-13,,,,,,,,602743323.5035374,4.64
2022-12-14,,,,,,,,611072842.8185304,4.68
2022-12-15,,,,,,,,602088964.7864323,4.63
2022-12-16,,,,,,,,525295385.4100038,4.05
2022-12-17,,,,,,,,532501110.8615467,4.1
2022-12-18,,,,,,,,529529360.190139,4.07
2022-12-19,,,,,,,,495448639.6008284,3.8
2022-12-20,,,,,,,,508745366.8905825,3.91
2022-12-21,,,,,,,,490309221.53408,3.77
2022-12-22,,,,,,,,483024269.4230921,3.72
2022-12-23,,,,,,,,487992038.9169999,3.76
2022-12-24,,,,,,,,482454910.8766175,3.71
2022-12-25,,,,,,,,464866897.09783816,3.58
2022-12-26,,,,,,,,474216966.7327949,3.65
2022-12-27,,,,,,,,466647706.379482,3.59
2022-12-28,,,,,,,,419747469.3192985,3.23
2022-12-29,,,,,,,,417006218.5597131,3.21
2022-12-30,,,,,,,,440973709.8548232,3.4
2022-12-31,,,,,,,,449080640.67450416,3.45
2023-01-01,,,,,,,,458510051.86835474,3.53
2023-01-02,,,,,,,,488442740.7765125,3.75
2023-01-03,,,,,,,,495682515.60651904,3.82
2023-01-04,,,,,,,,496146348.0422096,3.82
2023-01-05,,,,,,,,481200273.0782443,3.7
2023-01-06,,,,,,,,502192623.16889405,3.86
2023-01-07,,,,,,,,497293149.4992384,3.83
2023-01-08,,,,,,,,504571878.54711545,3.88
2023-01-09,,,,,,,,677800889.762005,5.22
