date,ETH,BNB,ADA,SUI,TRX,APT,SOL,AVAX,NEAR,TIA,DOT,ATOM
2022-01-01,3747.09,524.75,1.36,,0.076022,,176.59,113.06,15.01,,28.29,36.26
2022-01-02,3827.5,531.88,1.37,,0.077771,,176.32,113.51,14.4,,29.91,35.08
2022-01-03,3735.16,512.98,1.33,,0.07699,,169.32,108.5,15.89,,29.99,38.58
2022-01-04,3819.82,510.94,1.32,,0.076634,,169.05,105.19,16.54,,29.35,42.25
2022-01-05,3842.21,513.68,1.32,,0.07772,,169.38,101.75,17.06,,30.36,38.59
2022-01-06,3432.43,475.81,1.27,,0.071272,,151.55,95.32,15.83,,26.93,39.51
2022-01-07,3213.6,450.55,1.22,,0.0684,,138.87,87.67,15.38,,25.34,40.3
2022-01-08,3122.16,434.86,1.2,,0.066532,,146.95,84.63,14.3,,24.26,36.82
2022-01-09,3198.7,442.86,1.19,,0.066767,,142.62,90.74,13.82,,25.03,35.67
2022-01-10,3086.86,424.62,1.14,,0.063489,,135.65,84.56,15.14,,23.7,37.41
2022-01-11,3239.6,461.17,1.19,,0.064965,,141.1,89.28,18.08,,25.58,39.19
2022-01-12,3372.9,487.09,1.3,,0.067951,,151.96,94.6,17.63,,27.37,41.34
2022-01-13,3283.52,480.1,1.25,,0.066967,,149.54,91.99,19.74,,26.28,39.07
2022-01-14,3325.14,489.48,1.29,,0.068303,,147.84,90.45,19.91,,27.36,39.37
2022-01-15,3336.39,495.04,1.31,,0.068678,,148.06,93.1,19.31,,27.89,39.97
2022-01-16,3350.1,501.33,1.41,,0.069886,,147.57,92.88,20.47,,27.71,42.58
2022-01-17,3168.06,470.73,1.53,,0.070198,,138.3,86.09,17.63,,25.37,38.81
2022-01-18,3160.77,469.05,1.48,,0.068803,,140.39,86.17,17.73,,25.19,38.89
2022-01-19,3118.47,467.12,1.34,,0.069012,,135.75,83.38,16.33,,24.14,36.62
2022-01-20,3082.52,449.51,1.29,,0.06914,,132.21,81.57,15.83,,23.56,38.98
2022-01-21,2605.3,390.8,1.14,,0.060733,,113.52,66.46,12.81,,20.13,33.61
2022-01-22,2434.84,362.0,1.09,,0.05719,,95.76,60.28,11.71,,18.51,29.72
2022-01-23,2431.78,368.48,1.07,,0.056374,,95.94,61.68,11.1,,18.07,32.85
2022-01-24,2440.26,370.94,1.08,,0.054959,,92.77,62.71,10.67,,18.06,35.59
2022-01-25,2425.92,380.17,1.03,,0.05563,,93.37,67.39,11.81,,18.45,35.66
2022-01-26,2546.73,386.52,1.11,,0.056642,,96.83,68.49,11.74,,18.74,33.47
2022-01-27,2327.01,374.16,1.03,,0.055362,,86.45,62.49,10.04,,17.64,29.23
2022-01-28,2544.06,384.3,1.05,,0.057675,,92.16,67.03,10.77,,18.37,29.51
2022-01-29,2608.52,387.58,1.06,,0.059826,,95.7,72.07,11.02,,18.77,28.95
2022-01-30,2569.01,375.75,1.04,,0.058588,,92.56,67.83,10.4,,18.02,26.85
2022-01-31,2683.27,379.2,1.05,,0.058904,,99.69,69.7,10.99,,19.47,28.25
2022-02-01,2800.22,387.24,1.08,,0.060336,,111.23,72.45,11.28,,19.82,29.27
2022-02-02,2665.96,369.49,1.04,,0.05936,,99.58,68.84,11.23,,18.89,26.5
2022-02-03,2658.64,370.74,1.06,,0.059592,,100.7,68.55,10.87,,18.77,29.78
2022-02-04,2947.83,394.88,1.11,,0.06382,,110.26,75.93,12.62,,20.09,30.74
2022-02-05,3035.07,414.21,1.13,,0.065191,,114.51,77.41,12.95,,21.45,30.94
